state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
California,F,College,433038.6,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
Oregon,F,Bachelor,696669.45,41837.0,88.0,0.0,Personal Auto,Four-Door Car,142.062768
California,F,Bachelor,769406.43,32303.0,65.0,0.0,Personal Auto,Four-Door Car,45.152521
Oregon,F,High School or Below,871756.11,0.0,117.0,1.0,Personal Auto,SUV,561.6
California,F,Bachelor,592874.85,40531.0,74.0,0.0,Personal Auto,Two-Door Car,30.567357
Oregon,F,College,245297.73,79898.0,62.0,1.0,Corporate Auto,Four-Door Car,271.606799
California,F,College,670157.17,56398.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
Washington,M,High School or Below,499655.27,71600.0,63.0,0.0,Personal Auto,Two-Door Car,46.158117
Arizona,F,College,849269.88,27804.0,109.0,0.0,Personal Auto,SUV,784.8
Oregon,F,Bachelor,771349.4,45506.0,66.0,2.0,Personal Auto,Four-Door Car,316.8
Washington,F,Master,518579.76,99428.0,6464.0,1.0,Personal Auto,Four-Door Car,48.046869
Oregon,F,High School or Below,477294.38,20993.0,133.0,0.0,Personal Auto,SUV,638.4
Arizona,F,High School or Below,680649.14,37839.0,86.0,0.0,Personal Auto,Two-Door Car,465.633954
California,F,Bachelor,246978.13,92711.0,62.0,0.0,Personal Auto,Two-Door Car,368.400146
California,F,College,310392.3,74665.0,78.0,2.0,Corporate Auto,Four-Door Car,236.902001
Washington,F,College,1048491.54,61108.0,89.0,0.0,Personal Auto,Four-Door Car,49.451117
California,F,Bachelor,890273.76,46833.0,112.0,0.0,Personal Auto,Luxury,64.109663
Oregon,F,High School or Below,549944.72,88768.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
California,F,High School or Below,1502359.86,28262.0,192.0,0.0,Personal Auto,Luxury,921.6
Nevada,F,Bachelor,250910.79,33555.0,63.0,0.0,Personal Auto,Four-Door Car,101.89645
Oregon,F,College,3122174.81,42780.0,113.0,1.0,Personal Auto,Four-Door Car,542.4
Oregon,F,Master,313350.34,58850.0,78.0,0.0,Personal Auto,Four-Door Car,143.747794
Arizona,F,College,383745.19,21880.0,97.0,0.0,Special Auto,Four-Door Car,424.077159
Oregon,F,College,1179049.62,25251.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
Washington,F,High School or Below,282986.39,25317.0,71.0,0.0,Personal Auto,Two-Door Car,50.422181
Arizona,F,High School or Below,430580.83,24188.0,109.0,0.0,Personal Auto,Luxury,523.2
Nevada,F,Bachelor,597397.69,41611.0,74.0,0.0,Special Auto,Four-Door Car,113.801497
Oregon,F,Bachelor,567044.24,28406.0,72.0,1.0,Personal Auto,Four-Door Car,192.87572
Arizona,F,College,473174.93,69833.0,118.0,0.0,Personal Auto,Four-Door Car,828.662719
Oregon,F,High School or Below,961831.09,80536.0,119.0,0.0,Special Auto,Luxury,53.798708
Washington,F,Bachelor,725595.38,88891.0,89.0,0.0,Personal Auto,Four-Door Car,50.528355
Oregon,F,College,955292.69,97732.0,79.0,0.0,Personal Auto,Four-Door Car,289.9122
Arizona,F,Bachelor,1038855.32,61222.0,89.0,0.0,Special Auto,Four-Door Car,392.604371
Arizona,M,Master,561906.85,50335.0,140.0,0.0,Personal Auto,SUV,456.52385
California,F,High School or Below,904711.92,0.0,127.0,0.0,Personal Auto,Luxury,1087.995426
Washington,F,Doctor,268731.41,82210.0,68.0,4.0,Personal Auto,Four-Door Car,51.961915
Oregon,F,High School or Below,373150.46,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
Nevada,M,Bachelor,366077.03,64495.0,92.0,0.0,Corporate Auto,Four-Door Car,251.992083
Arizona,F,Bachelor,501175.16,28859.0,67.0,3.0,Corporate Auto,Two-Door Car,321.6
Arizona,F,High School or Below,798825.83,77330.0,99.0,0.0,Personal Auto,Four-Door Car,99.257608
Oregon,M,College,388545.64,0.0,105.0,0.0,Corporate Auto,Four-Door Car,504.0
Washington,F,High School or Below,935773.78,33060.0,117.0,0.0,Personal Auto,Four-Door Car,56.731578
Washington,M,Master,254068.98,42557.0,65.0,0.0,Personal Auto,Four-Door Car,57.562324
Arizona,M,High School or Below,488516.25,26372.0,126.0,0.0,Personal Auto,SUV,604.8
Arizona,F,Bachelor,975330.71,17514.0,127.0,0.0,Personal Auto,SUV,8.312729
California,F,Bachelor,294615.37,89270.0,74.0,0.0,Personal Auto,Four-Door Car,316.599228
California,M,High School or Below,258111.09,29757.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
Oregon,M,College,351738.58,51814.0,92.0,0.0,Personal Auto,Four-Door Car,56.300724
Oregon,F,Bachelor,974335.01,24028.0,82.0,0.0,Personal Auto,Four-Door Car,393.6
Arizona,M,College,387364.7,28142.0,105.0,0.0,Personal Auto,Luxury,701.708239
Arizona,F,Bachelor,764928.2,52705.0,64.0,1.0,Personal Auto,Two-Door Car,128.705563
California,M,High School or Below,228759.69,0.0,63.0,0.0,Corporate Auto,Two-Door Car,679.368378
Washington,F,High School or Below,825576.39,54040.0,103.0,0.0,Personal Auto,SUV,59.987126
Washington,F,Doctor,681923.12,22492.0,85.0,0.0,Personal Auto,Two-Door Car,61.654262
Oregon,M,Master,777115.9,21876.0,68.0,0.0,Personal Auto,Four-Door Car,465.41477
Oregon,F,High School or Below,1977656.65,70699.0,82.0,0.0,Personal Auto,Four-Door Car,256.813837
California,M,College,241313.97,27501.0,63.0,0.0,Personal Auto,Four-Door Car,542.319401
Oregon,F,Doctor,1536384.72,15897.0,101.0,0.0,Personal Auto,Four-Door Car,303.148399
Nevada,F,College,845696.19,25141.0,73.0,1.0,Personal Auto,Four-Door Car,25.438063
Nevada,F,College,218964.25,0.0,61.0,3.0,Personal Auto,Four-Door Car,292.8
California,F,Bachelor,463998.16,28358.0,117.0,0.0,Personal Auto,Luxury,84.024413
Washington,F,Doctor,382443.13,62530.0,95.0,0.0,Personal Auto,Four-Door Car,61.693771
Arizona,F,Bachelor,596811.89,90972.0,74.0,0.0,Personal Auto,Two-Door Car,232.926145
Washington,F,Bachelor,859033.5,63110.0,72.0,0.0,Personal Auto,Four-Door Car,68.179721
California,F,Bachelor,407663.47,29549.0,104.0,0.0,Personal Auto,Luxury,710.433775
Nevada,F,Bachelor,1693627.15,39411.0,217.0,2.0,Personal Auto,Luxury,1122.658899
Oregon,M,High School or Below,489243.55,21709.0,62.0,0.0,Personal Auto,Four-Door Car,408.374746
Nevada,M,Bachelor,994230.48,67890.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
California,F,High School or Below,1311752.22,84311.0,111.0,4.0,Personal Auto,SUV,532.8
California,F,College,457452.41,99316.0,114.0,0.0,Corporate Auto,SUV,754.358929
Arizona,F,Bachelor,547006.06,54507.0,138.0,0.0,Personal Auto,SUV,702.990032
California,F,Bachelor,297884.6,64586.0,76.0,0.0,Personal Auto,Four-Door Car,206.837111
Oregon,M,College,641096.75,61709.0,82.0,2.0,Personal Auto,Four-Door Car,275.395894
California,M,Master,447902.31,94656.0,111.0,1.0,Special Auto,SUV,459.738128
California,F,High School or Below,238373.19,0.0,69.0,0.0,Special Auto,Two-Door Car,496.8
California,M,Bachelor,276449.37,61085.0,70.0,1.0,Personal Auto,Two-Door Car,336.0
Oregon,F,Bachelor,792010.54,89284.0,67.0,3.0,Personal Auto,Two-Door Car,321.6
Washington,F,Bachelor,327419.46,31686.0,81.0,0.0,Personal Auto,Four-Door Car,430.994107
Oregon,M,High School or Below,995170.77,56855.0,255.0,0.0,Corporate Auto,Luxury,1836.0
Oregon,M,Bachelor,252155.57,53703.0,67.0,2.0,Special Auto,Four-Door Car,67.632476
California,F,Master,1114030.25,27679.0,150.0,0.0,Personal Auto,SUV,722.486994
Nevada,F,Bachelor,433406.41,23904.0,123.0,3.0,Personal Auto,SUV,590.4
Arizona,F,High School or Below,279974.79,65351.0,69.0,0.0,Corporate Auto,Four-Door Car,481.027516
California,F,College,292497.67,64459.0,72.0,0.0,Personal Auto,Four-Door Car,240.259479
California,M,College,1501409.27,32961.0,190.0,0.0,Corporate Auto,SUV,912.0
Oregon,F,High School or Below,927723.38,71416.0,116.0,0.0,Corporate Auto,SUV,556.8
Washington,F,Bachelor,627412.39,68964.0,78.0,0.0,Personal Auto,Four-Door Car,115.086827
California,M,High School or Below,388664.74,78108.0,98.0,0.0,Personal Auto,Two-Door Car,470.4
California,M,College,438627.76,10621.0,67.0,0.0,Special Auto,Four-Door Car,321.6
Washington,M,College,1136526.77,84910.0,95.0,0.0,Corporate Auto,Two-Door Car,383.167471
California,F,High School or Below,561096.43,77493.0,70.0,0.0,Special Auto,Four-Door Car,307.963291
Arizona,M,College,291289.2,81097.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
Oregon,F,College,691572.99,96610.0,85.0,0.0,Corporate Auto,Four-Door Car,520.364752
Oregon,M,College,626266.33,30110.0,159.0,0.0,Corporate Auto,Luxury,466.436375
Oregon,F,High School or Below,650339.7,22081.0,84.0,0.0,Special Auto,Two-Door Car,451.670309
Washington,F,High School or Below,800739.94,0.0,112.0,0.0,Personal Auto,Luxury,537.6
California,M,College,292991.65,98473.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
Oregon,F,Bachelor,596955.3,97431.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
California,M,Bachelor,547315.99,93870.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
Nevada,M,High School or Below,564539.67,50366.0,72.0,0.0,Personal Auto,Four-Door Car,428.734656
Washington,M,High School or Below,636926.24,34498.0,83.0,0.0,Personal Auto,Two-Door Car,398.4
Oregon,F,College,1183376.73,16552.0,103.0,0.0,Personal Auto,SUV,494.4
Oregon,F,College,612110.79,26787.0,77.0,0.0,Personal Auto,Four-Door Car,369.6
Nevada,M,College,515936.97,0.0,74.0,0.0,Personal Auto,Two-Door Car,831.752839
Nevada,F,High School or Below,251459.2,43860.0,65.0,0.0,Corporate Auto,Four-Door Car,156.124914
Arizona,M,High School or Below,866861.13,21474.0,114.0,2.0,Corporate Auto,SUV,373.428187
California,M,Bachelor,496096.54,18174.0,66.0,0.0,Corporate Auto,Four-Door Car,395.934815
Arizona,M,College,750745.54,60920.0,64.0,0.0,Personal Auto,Two-Door Car,231.201886
Arizona,M,High School or Below,3226985.14,41520.0,90.0,0.0,Personal Auto,Four-Door Car,289.904105
Arizona,M,High School or Below,506175.79,0.0,68.0,0.0,Personal Auto,Two-Door Car,326.4
California,M,Bachelor,591278.38,72208.0,73.0,0.0,Personal Auto,Two-Door Car,350.4
California,F,Bachelor,1518227.98,53863.0,63.0,0.0,Personal Auto,Four-Door Car,105.765111
Washington,M,College,1074703.09,66446.0,136.0,0.0,Corporate Auto,SUV,639.464548
Washington,F,Bachelor,246544.49,64997.0,63.0,1.0,Personal Auto,Four-Door Car,383.442328
Nevada,F,High School or Below,534312.13,64460.0,66.0,0.0,Corporate Auto,Two-Door Car,316.8
Arizona,F,College,811982.91,46618.0,67.0,0.0,Personal Auto,Four-Door Car,99.085943
California,M,College,640878.56,49988.0,84.0,5.0,Personal Auto,Two-Door Car,566.935022
California,M,Bachelor,321107.0,16269.0,86.0,0.0,Corporate Auto,Two-Door Car,412.8
Arizona,F,Bachelor,509452.23,72006.0,64.0,0.0,Personal Auto,Four-Door Car,307.2
Oregon,M,Bachelor,867222.97,0.0,245.0,0.0,Corporate Auto,Luxury,2345.413441
California,M,Master,804473.07,44320.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Arizona,F,High School or Below,400151.91,19782.0,108.0,0.0,Personal Auto,Two-Door Car,773.470977
Nevada,F,Bachelor,1670611.7,63933.0,70.0,0.0,Personal Auto,Two-Door Car,424.883448
Arizona,M,Doctor,854441.11,28224.0,109.0,0.0,Personal Auto,SUV,523.2
Washington,F,College,780531.29,21073.0,106.0,1.0,Personal Auto,SUV,508.8
Oregon,M,Bachelor,611275.69,63243.0,77.0,0.0,Personal Auto,Four-Door Car,364.240307
Nevada,M,High School or Below,477294.38,20993.0,133.0,0.0,Personal Auto,SUV,638.4
Oregon,F,Bachelor,1097909.56,94827.0,135.0,0.0,Personal Auto,SUV,354.729129
California,F,Master,500426.38,39161.0,63.0,1.0,Personal Auto,Two-Door Car,283.995953
Washington,M,Bachelor,1322304.38,37534.0,84.0,2.0,Personal Auto,Four-Door Car,403.2
Oregon,F,Bachelor,262331.54,80210.0,65.0,0.0,Corporate Auto,Four-Door Car,20.543176
California,F,College,510611.18,30110.0,64.0,0.0,Personal Auto,Four-Door Car,140.165035
Arizona,F,College,1793060.45,21708.0,68.0,0.0,Personal Auto,Four-Door Car,326.4
Arizona,M,High School or Below,545734.26,94731.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
California,M,Bachelor,656364.41,32375.0,83.0,0.0,Personal Auto,Four-Door Car,398.4
Oregon,M,College,481252.52,16531.0,63.0,0.0,Corporate Auto,Four-Door Car,102.879769
Arizona,F,Master,2932804.19,32006.0,94.0,0.0,Corporate Auto,Four-Door Car,56.868289
Arizona,F,Bachelor,577352.07,81676.0,72.0,0.0,Personal Auto,Two-Door Car,463.158502
California,M,College,684711.89,71038.0,86.0,0.0,Corporate Auto,Four-Door Car,205.444066
Arizona,F,High School or Below,359531.29,0.0,103.0,0.0,Corporate Auto,Luxury,741.6
Nevada,F,Master,2285561.21,20832.0,65.0,0.0,Personal Auto,Two-Door Car,56.371967
Oregon,M,High School or Below,411557.74,52405.0,103.0,0.0,Personal Auto,Four-Door Car,494.4
Arizona,F,High School or Below,502963.88,0.0,133.0,0.0,Personal Auto,Luxury,795.864079
Washington,F,Bachelor,482141.85,26583.0,1005.0,4.0,Personal Auto,SUV,614.4
Oregon,M,Master,500431.05,25486.0,65.0,0.0,Special Auto,Two-Door Car,72.438681
Arizona,M,College,863005.39,24065.0,111.0,0.0,Corporate Auto,Four-Door Car,532.8
Arizona,F,High School or Below,932208.51,70435.0,116.0,0.0,Personal Auto,Four-Door Car,67.881546
Oregon,F,High School or Below,365253.24,39679.0,92.0,0.0,Personal Auto,Two-Door Car,641.388616
Nevada,M,High School or Below,556945.62,53565.0,71.0,1.0,Personal Auto,Four-Door Car,340.8
Washington,M,Bachelor,257651.3,37574.0,66.0,1.0,Personal Auto,Two-Door Car,412.101933
Washington,M,Bachelor,834698.32,48259.0,108.0,0.0,Personal Auto,Two-Door Car,73.700573
Arizona,F,High School or Below,632392.39,78532.0,78.0,0.0,Personal Auto,Four-Door Car,374.4
Arizona,F,Bachelor,597314.34,96163.0,73.0,0.0,Corporate Auto,Four-Door Car,350.4
Washington,M,College,503574.46,72672.0,63.0,0.0,Personal Auto,Four-Door Car,259.361117
Oregon,F,Bachelor,902786.72,99002.0,112.0,1.0,Personal Auto,Four-Door Car,537.6
California,M,High School or Below,728888.48,79494.0,91.0,0.0,Personal Auto,Four-Door Car,396.295614
Oregon,M,Master,1804247.94,35704.0,225.0,0.0,Personal Auto,Luxury,358.281562
Oregon,F,High School or Below,910226.78,26049.0,118.0,0.0,Personal Auto,Two-Door Car,121.032372
Arizona,M,Doctor,254040.77,70125.0,64.0,0.0,Special Auto,Four-Door Car,92.813396
California,M,College,1294189.19,52369.0,110.0,1.0,Personal Auto,SUV,528.0
Washington,F,Bachelor,236534.86,0.0,66.0,2.0,Special Auto,Four-Door Car,159.636956
Arizona,M,College,572076.51,41770.0,72.0,0.0,Personal Auto,Four-Door Car,476.156957
California,M,College,263697.77,31911.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
Nevada,M,Bachelor,539583.2,70051.0,68.0,0.0,Corporate Auto,Four-Door Car,42.078345
Oregon,M,High School or Below,838263.01,19683.0,117.0,1.0,Personal Auto,Luxury,561.6
Washington,F,College,3116174.52,30916.0,112.0,0.0,Personal Auto,SUV,200.11606
Washington,M,College,742584.53,84302.0,62.0,0.0,Personal Auto,Four-Door Car,76.609295
Oregon,M,College,1027260.82,60145.0,132.0,0.0,Personal Auto,SUV,580.473259
Oregon,F,Bachelor,437636.36,63774.0,111.0,0.0,Personal Auto,Four-Door Car,60.036683
California,F,Bachelor,531889.66,25134.0,67.0,0.0,Corporate Auto,Four-Door Car,321.6
Oregon,M,Bachelor,471976.22,37057.0,61.0,1.0,Personal Auto,Four-Door Car,47.53101
Oregon,F,High School or Below,442803.16,58577.0,110.0,0.0,Personal Auto,SUV,303.872752
California,M,High School or Below,587917.61,85857.0,73.0,0.0,Corporate Auto,Four-Door Car,100.620067
Oregon,F,Doctor,941690.85,70602.0,116.0,0.0,Personal Auto,SUV,481.339891
Oregon,F,Master,828815.56,33816.0,106.0,2.0,Corporate Auto,Four-Door Car,508.8
Oregon,F,College,471945.01,89642.0,121.0,4.0,Corporate Auto,SUV,86.320022
California,F,Bachelor,390347.48,60068.0,98.0,0.0,Personal Auto,Two-Door Car,470.4
California,F,Bachelor,545725.97,50044.0,139.0,0.0,Personal Auto,SUV,667.2
California,F,Master,272535.64,36650.0,69.0,1.0,Personal Auto,Four-Door Car,56.60333
Arizona,F,College,443397.37,50653.0,110.0,0.0,Corporate Auto,SUV,262.865172
Arizona,F,Doctor,533246.27,68931.0,66.0,0.0,Personal Auto,Four-Door Car,309.577946
California,M,Bachelor,958733.23,39266.0,80.0,0.0,Personal Auto,Four-Door Car,384.0
Nevada,F,Bachelor,256715.15,40864.0,65.0,0.0,Corporate Auto,Four-Door Car,9.51528
Oregon,F,College,265062.28,39035.0,68.0,0.0,Personal Auto,Four-Door Car,244.564334
California,M,Bachelor,1126436.33,34923.0,98.0,0.0,Personal Auto,Two-Door Car,639.105556
California,F,College,283464.62,24506.0,71.0,0.0,Personal Auto,Two-Door Car,511.2
Arizona,F,College,553638.7,52220.0,70.0,1.0,Personal Auto,Four-Door Car,336.0
California,M,College,808288.1,53554.0,67.0,0.0,Personal Auto,Four-Door Car,327.020539
California,M,Bachelor,525473.43,34476.0,67.0,1.0,Corporate Auto,Four-Door Car,5.3953
California,M,College,303464.7,68205.0,76.0,0.0,Personal Auto,Two-Door Car,99.382943
California,M,High School or Below,1821114.32,53690.0,154.0,0.0,Personal Auto,SUV,739.2
California,F,High School or Below,559538.99,74454.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
Oregon,M,High School or Below,538585.32,29664.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
Washington,F,Doctor,267805.83,72450.0,66.0,0.0,Corporate Auto,Four-Door Car,84.218363
Nevada,F,Bachelor,942256.79,47272.0,79.0,3.0,Personal Auto,Four-Door Car,64.546877
Oregon,F,College,360586.03,21585.0,92.0,0.0,Corporate Auto,Four-Door Car,441.6
California,F,College,776259.06,23827.0,106.0,2.0,Personal Auto,Four-Door Car,37.910623
Arizona,F,College,2344490.05,69906.0,74.0,2.0,Corporate Auto,Four-Door Car,202.860399
